rate_target,t_ms,stream_msgs,lag_bytes
100,0,1,376
100,503,41,11632
100,1004,91,22048
100,1507,128,6936
100,2009,201,18216
100,2511,241,134464
100,3013,283,13976
100,3515,337,28024
100,4017,401,7880
100,4520,441,18680
100,5023,485,12344
100,5525,522,23120
100,6028,595,6792
100,6529,631,25776
100,7032,701,14656
100,7535,741,26352
100,8037,781,5624
100,8539,841,17320
100,9041,890,28096
100,9542,927,11944
100,10044,1000,22744
100,10547,1036,6744
100,11048,1101,18416
100,11550,1141,10800
100,12053,1181,26152
100,12555,1239,5400
100,13058,1295,20752
100,13559,1332,35184
100,14061,1401,45896
100,14564,1441,56696
100,15067,1492,6344
100,15569,1529,18016
100,16071,1601,28816
100,16573,1638,13264
100,17075,1701,24040
100,17578,1741,7640
100,18080,1783,18416
100,18582,1841,30112
100,19085,1893,13088
100,19587,1930,24536
100,20089,2001,15480
200,0,2001,15480
200,502,2040,37152
200,1004,2154,31200
200,1506,2229,56720
200,2008,2364,37464
200,2511,2441,63592
200,3013,2551,28816
200,3516,2652,62256
200,4018,2777,37616
200,4520,2835,60064
200,5022,2980,34144
200,5524,3082,10520
200,6025,3158,33216
200,6528,3268,56360
200,7029,3377,34640
200,7531,3471,57112
200,8033,3580,28744
200,8536,3689,51216
200,9038,3761,26328
200,9539,3872,48800
200,10041,3981,24264
200,10543,4089,46736
200,11045,4161,22472
200,11548,4293,49248
200,12050,4366,20728
200,12551,4475,43256
200,13054,4585,18640
200,13556,4698,48448
200,14058,4771,16272
200,14561,4880,38720
200,15062,4980,21792
200,15564,5105,47944
200,16067,5162,16696
200,16568,5293,39392
200,17070,5386,25496
200,17573,5483,47944
200,18075,5555,70416
200,18577,5702,35112
200,19080,5757,57584
200,19581,5904,33096
200,20084,5961,51984
400,0,5961,51984
400,502,6169,47944
400,1004,6304,94920
400,1507,6562,60360
400,2009,6708,105280
400,2511,6964,55720
400,3013,7109,100640
400,3515,7365,50832
400,4017,7510,99656
400,4520,7749,46288
400,5022,7932,91232
400,5524,8150,41336
400,6027,8333,86728
400,6529,8571,40632
400,7031,8717,89208
400,7533,8976,35616
400,8035,9143,84416
400,8537,9361,31056
400,9039,9527,76448
400,9542,9770,33416
400,10044,9928,85672
400,10546,10179,24880
400,11048,10313,73904
400,11550,10576,29904
400,12052,10726,85792
400,12554,10969,34488
400,13056,11139,90848
400,13558,11382,32352
400,14060,11527,77272
400,14563,11766,30856
400,15065,11932,76000
400,15567,12188,31904
400,16069,12317,80952
400,16571,12573,27000
400,17073,12718,71944
400,17575,12974,22024
400,18078,13120,67864
400,18580,13375,21400
400,19081,13567,66320
400,19585,13760,22000
400,20087,13978,59752
800,0,13978,59752
800,503,14280,43392
800,1005,14726,133256
800,1507,15087,44496
800,2009,15561,134360
800,2512,15893,47008
800,3014,16387,140952
800,3516,16698,42704
800,4018,17173,133016
800,4520,17505,54848
800,5021,17962,148816
800,5523,18295,51632
800,6025,18781,152464
800,6527,19097,30112
800,7029,19595,131392
800,7532,19891,42728
800,8034,20369,165920
800,8536,20713,41656
800,9038,21178,150472
800,9540,21502,44568
800,10042,21979,146320
800,10544,22300,258096
800,11046,22765,135592
800,11548,23114,229560
800,12050,23575,127336
800,12552,23891,228616
800,13054,24386,119152
800,13556,24714,209464
800,14058,25194,128464
800,14560,25505,221984
800,15062,25997,108544
800,15564,26288,199304
800,16066,26799,103576
800,16569,27111,197768
800,17071,27585,93448
800,17573,27913,183816
800,18075,28387,92328
800,18578,28715,183088
800,19080,29172,95336
800,19582,29501,189728
800,20084,29995,76448
1600,1,29995,76448
1600,503,30491,262248
1600,1005,31478,214216
1600,1508,32086,405784
1600,2009,33055,220856
1600,2511,33695,408768
1600,3013,34651,212696
1600,3514,35312,407968
1600,4017,36251,206776
1600,4518,36915,408464
1600,5020,37855,218088
1600,5522,38526,438880
1600,6024,39479,225400
1600,6526,40113,464112
1600,7027,41086,220248
1600,7529,41730,411192
1600,8031,42677,217336
1600,8533,43308,419944
1600,9034,44276,228184
1600,9536,44924,437336
1600,10038,45891,208656
1600,10540,46540,414896
1600,11042,47467,196304
1600,11544,48126,380112
1600,12047,49099,185272
1600,12548,49743,376672
1600,13051,50679,179248
1600,13553,51359,363280
1600,14055,52287,186296
1600,14557,52972,373536
1600,15059,53879,183384
1600,15560,54601,367440
1600,16062,55504,167728
1600,16564,56228,351984
1600,17066,57076,169224
1600,17568,57867,356512
1600,18071,58684,175944
1600,18572,59488,360000
1600,19075,60293,160416
1600,19576,61117,344472
1600,20079,61917,140856
3200,1,61917,140856
3200,502,63068,500936
3200,1005,64619,406544
3200,1507,66272,774184
3200,2009,67974,393240
3200,2511,69509,779232
3200,3013,71190,405672
3200,3516,72719,810784
3200,4019,74377,424328
3200,4521,76010,840320
3200,5023,77588,416144
3200,5525,79181,833808
3200,6027,80779,418464
3200,6529,82378,833160
3200,7031,83979,426712
3200,7533,85733,849024
3200,8035,87186,441192
3200,8537,88901,864640
3200,9039,90409,406192
3200,9541,92108,821312
3200,10043,93608,413880
3200,10545,95393,810744
3200,11047,96795,388784
3200,11549,98610,778808
3200,12052,100016,394800
3200,12554,101885,770920
3200,13056,103202,367584
3200,13558,105057,742560
3200,14060,106415,374024
3200,14562,108315,753032
3200,15064,109637,375968
3200,15566,111541,744280
3200,16068,112817,365152
3200,16570,114753,730032
3200,17071,116030,365056
3200,17573,117970,740008
3200,18075,119246,353008
3200,18577,121167,721344
3200,19079,122431,367536
3200,19580,124375,746096
3200,20083,125639,324456
