t_ms,old_backlog,new_pending
3,1,0
205,2,0
407,3,0
610,1,0
811,2,0
1013,1,0
1215,0,0
1419,1,0
1621,0,0
1823,1,0
2026,0,0
2229,3,0
2431,2,0
2632,3,0
2835,1,0
3036,0,0
3239,2,0
3441,0,0
3643,1,0
3846,0,0
4048,18,0
4251,51,0
4453,57,0
4655,49,0
4858,70,9
5059,41,0
5261,31,0
5464,66,0
5667,52,0
5869,84,0
6071,56,0
6274,47,0
6477,34,0
6680,63,0
6883,40,0
7085,76,0
7287,59,0
7489,54,0
7692,52,0
7893,38,0
8096,28,0
8298,65,0
8500,60,0
8702,44,0
8905,26,0
9107,2,0
9309,2,0
9511,1,0
9714,2,2
9916,0,4
10118,2,3
10321,1,0
10524,2,2
10725,0,2
10930,2,0
11132,1,0
11343,2,0
11550,4,5
11757,2,0
11967,4,2
12184,2,0
12394,4,0
12604,5,4
12817,6,0
13026,4,1
13232,4,3
13438,3,0
13642,3,0
13846,2,0
14050,1,0
14253,1,0
14457,2,0
14662,2,0
14866,2,0
15072,2,0
15282,1,0
15486,2,0
15692,3,0
15898,2,0
16110,4,0
16315,2,0
16523,3,0
16729,1,0
16937,4,1
17155,5,1
17368,4,5
17580,4,7
17799,4,7
18014,8,6
18225,4,0
18432,2,2
18640,3,0
18847,3,0
19058,3,0
19265,4,0
19477,5,0
19685,6,3
19893,4,0
20113,4,0
20330,1,0
20540,3,1
20749,4,0
20956,2,8
21164,4,5
21375,2,1
21581,4,3
21791,5,0
21998,2,0
22203,3,0
22411,3,0
22619,4,0
22834,5,0
23038,0,0
23243,0,0
23448,0,0
23653,0,0
23856,0,0
24059,0,0
24263,0,0
24466,0,0
24668,0,0
24872,0,0
25075,0,0
25279,0,0
25481,0,0
25686,0,0
25890,0,0
26095,0,0
26298,0,0
26502,0,0
26704,0,0
26908,0,0
